Region,Suburb,Property_Count,Median_Weekly_Price
Ballarat,Alfredton,35,450.0
Ballarat,Ballarat Central,15,400.0
Ballarat,Buninyong,2,385.0
Ballarat,Delacombe,7,450.0
Ballarat,Lake Wendouree,1,390.0
Ballarat,Sebastopol,24,392.5
Ballarat,Wendouree,31,380.0
Bendigo,Bendigo,46,565.0
Bendigo,Golden Beach,2,395.0
Bendigo,Golden Point,5,420.0
Bendigo,Golden Square,10,520.0
Bendigo,Jackass Flat,1,640.0
Bendigo,Kangaroo Flat,12,455.0
Geelong,Belmont,25,460.0
Geelong,Corio,26,410.0
Geelong,Geelong,12,522.5
Geelong,Grovedale,18,500.0
Geelong,Lara,23,590.0
Geelong,Newtown,11,550.0
Inner Eastern Melbourne,Ashburton,9,820.0
Inner Eastern Melbourne,Balwyn,9,1100.0
Inner Eastern Melbourne,Blackburn,11,595.0
Inner Eastern Melbourne,Bulleen,9,730.0
Inner Eastern Melbourne,Burwood,13,650.0
Inner Eastern Melbourne,Camberwell,22,1125.0
Inner Eastern Melbourne,Canterbury,5,1250.0
Inner Eastern Melbourne,Chadstone,5,650.0
Inner Eastern Melbourne,Clayton,15,595.0
Inner Eastern Melbourne,Croydon Hills,3,830.0
Inner Eastern Melbourne,Doncaster,24,735.0
Inner Eastern Melbourne,Donvale,4,792.5
Inner Eastern Melbourne,Endeavour Hills,15,560.0
Inner Eastern Melbourne,Glen Huntly,1,700.0
Inner Eastern Melbourne,Glen Iris,13,975.0
Inner Eastern Melbourne,Glen Waverley,37,780.0
Inner Eastern Melbourne,Hawthorn,12,997.5
Inner Eastern Melbourne,Kew,24,1020.0
Inner Eastern Melbourne,Mitcham,16,632.5
Inner Eastern Melbourne,Mount Beauty,2,455.0
Inner Eastern Melbourne,Mount Clear,6,465.0
Inner Eastern Melbourne,Mount Cottrell,1,435.0
Inner Eastern Melbourne,Mount Duneed,23,540.0
Inner Eastern Melbourne,Mount Eliza,10,1145.0
Inner Eastern Melbourne,Mount Evelyn,3,645.0
Inner Eastern Melbourne,Mount Helen,3,600.0
Inner Eastern Melbourne,Mount Martha,25,880.0
Inner Eastern Melbourne,Mount Pleasant,5,380.0
Inner Eastern Melbourne,Mount Waverley,25,720.0
Inner Eastern Melbourne,Mulgrave,14,642.5
Inner Eastern Melbourne,Nunawading,9,620.0
Inner Eastern Melbourne,Oakleigh,6,655.0
Inner Eastern Melbourne,Surrey Hills,5,1050.0
Inner Eastern Melbourne,Templestowe,11,850.0
Inner Eastern Melbourne,Templestowe Lower,7,880.0
Inner Eastern Melbourne,Vermont,9,720.0
Inner Eastern Melbourne,White Hills,5,530.0
Inner Melbourne,Abbotsford,7,850.0
Inner Melbourne,Airport West,11,550.0
Inner Melbourne,Albert Park,10,995.0
Inner Melbourne,Altona North,24,620.0
Inner Melbourne,Armadale,13,850.0
Inner Melbourne,Bakery Hill,1,500.0
Inner Melbourne,Ballarat East,12,387.5
Inner Melbourne,Ballarat North,5,420.0
Inner Melbourne,Balwyn North,24,860.0
Inner Melbourne,Bayswater North,3,620.0
Inner Melbourne,Belgrave South,1,525.0
Inner Melbourne,Bell Park,13,480.0
Inner Melbourne,Bell Post Hill,10,490.0
Inner Melbourne,Bentleigh East,21,780.0
Inner Melbourne,Black Hill,4,410.0
Inner Melbourne,Blackburn North,1,650.0
Inner Melbourne,Blackburn South,6,625.0
Inner Melbourne,Box Hill,9,680.0
Inner Melbourne,Box Hill North,11,650.0
Inner Melbourne,Box Hill South,6,565.0
Inner Melbourne,Brighton East,22,1172.5
Inner Melbourne,Brown Hill,7,400.0
Inner Melbourne,Brunswick East,8,850.0
Inner Melbourne,Brunswick West,9,680.0
Inner Melbourne,Bunkers Hill,1,700.0
Inner Melbourne,Burnley,1,850.0
Inner Melbourne,Burwood East,8,665.0
Inner Melbourne,Cambrian Hill,1,850.0
Inner Melbourne,Carlton,13,900.0
Inner Melbourne,Carlton North,15,795.0
Inner Melbourne,Caulfield North,11,800.0
Inner Melbourne,Caulfield South,9,820.0
Inner Melbourne,Chirnside Park,3,600.0
Inner Melbourne,Clayton South,12,600.0
Inner Melbourne,Clifton Hill,6,755.0
Inner Melbourne,Clifton Springs,11,480.0
Inner Melbourne,Clyde North,79,610.0
Inner Melbourne,Coburg North,8,617.5
Inner Melbourne,Collingwood,5,850.0
Inner Melbourne,Cranbourne East,26,580.0
Inner Melbourne,Cranbourne North,17,590.0
Inner Melbourne,Cranbourne South,1,560.0
Inner Melbourne,Cranbourne West,22,615.0
Inner Melbourne,Croydon North,1,680.0
Inner Melbourne,Croydon South,3,630.0
Inner Melbourne,Dandenong North,15,520.0
Inner Melbourne,Deer Park,11,520.0
Inner Melbourne,Docklands,3,775.0
Inner Melbourne,Doncaster East,30,750.0
Inner Melbourne,Drouin East,1,850.0
Inner Melbourne,East Bairnsdale,5,500.0
Inner Melbourne,East Bendigo,7,500.0
Inner Melbourne,East Geelong,8,470.0
Inner Melbourne,East Melbourne,2,1347.5
Inner Melbourne,Ecklin South,1,400.0
Inner Melbourne,Eltham North,1,640.0
Inner Melbourne,Elwood,5,750.0
Inner Melbourne,Essendon North,2,715.0
Inner Melbourne,Essendon West,1,740.0
Inner Melbourne,Fitzroy,9,950.0
Inner Melbourne,Fitzroy North,7,1160.0
Inner Melbourne,Flemington,5,650.0
Inner Melbourne,Flora Hill,15,450.0
Inner Melbourne,Forest Hill,5,610.0
Inner Melbourne,Frankston North,14,495.0
Inner Melbourne,Frankston South,13,630.0
Inner Melbourne,Geelong West,13,500.0
Inner Melbourne,Gladstone Park,6,550.0
Inner Melbourne,Gorae West,1,500.0
Inner Melbourne,Hampton East,2,890.0
Inner Melbourne,Hampton Park,20,530.0
Inner Melbourne,Hawthorn East,12,1150.0
Inner Melbourne,Hazelwood North,1,550.0
Inner Melbourne,Heidelberg West,5,520.0
Inner Melbourne,Herne Hill,7,430.0
Inner Melbourne,Katandra West,1,300.0
Inner Melbourne,Keilor East,13,630.0
Inner Melbourne,Keilor Park,1,425.0
Inner Melbourne,Kensington,11,700.0
Inner Melbourne,Kew East,5,800.0
Inner Melbourne,Kings Park,4,487.5
Inner Melbourne,Malvern East,26,775.0
Inner Melbourne,McKenzie Hill,1,540.0
Inner Melbourne,Melbourne,8,625.0
Inner Melbourne,Melton South,41,450.0
Inner Melbourne,Melton West,17,430.0
Inner Melbourne,Merricks North,1,650.0
Inner Melbourne,Middle Park,3,1050.0
Inner Melbourne,Mill Park,29,530.0
Inner Melbourne,Mirboo North,2,370.0
Inner Melbourne,Mitchell Park,1,600.0
Inner Melbourne,Mont Albert,6,842.5
Inner Melbourne,Mont Albert North,5,725.0
Inner Melbourne,Nar Nar Goon North,1,620.0
Inner Melbourne,Narre Warren North,3,750.0
