Region,Suburb,Property_Count,Median_Weekly_Price
Ballarat,Alfredton,1,450.0
Ballarat,Ballarat Central,3,360.0
Ballarat,Buninyong,1,400.0
Ballarat,Lake Wendouree,1,490.0
Bendigo,Bendigo,7,460.0
Bendigo,Golden Point,1,365.0
Bendigo,Golden Square,2,515.0
Geelong,Belmont,7,550.0
Geelong,Geelong,7,580.0
Geelong,Grovedale,2,450.0
Geelong,Lara,1,550.0
Geelong,Newtown,9,530.0
Inner Eastern Melbourne,Ashburton,1,795.0
Inner Eastern Melbourne,Balwyn,3,850.0
Inner Eastern Melbourne,Blackburn,4,670.0
Inner Eastern Melbourne,Bulleen,2,900.0
Inner Eastern Melbourne,Burwood,8,780.0
Inner Eastern Melbourne,Camberwell,3,1150.0
Inner Eastern Melbourne,Chadstone,14,795.0
Inner Eastern Melbourne,Clayton,16,725.0
Inner Eastern Melbourne,Doncaster,15,800.0
Inner Eastern Melbourne,Donvale,6,652.5
Inner Eastern Melbourne,Endeavour Hills,2,775.0
Inner Eastern Melbourne,Glen Huntly,1,495.0
Inner Eastern Melbourne,Glen Iris,4,1275.0
Inner Eastern Melbourne,Glen Waverley,12,830.0
Inner Eastern Melbourne,Hawthorn,1,650.0
Inner Eastern Melbourne,Kew,4,762.5
Inner Eastern Melbourne,Mitcham,6,730.0
Inner Eastern Melbourne,Mount Duneed,1,490.0
Inner Eastern Melbourne,Mount Pleasant,1,380.0
Inner Eastern Melbourne,Mount Waverley,8,875.0
Inner Eastern Melbourne,Mulgrave,6,725.0
Inner Eastern Melbourne,Nunawading,4,747.5
Inner Eastern Melbourne,Oakleigh,1,690.0
Inner Eastern Melbourne,Surrey Hills,3,1200.0
Inner Eastern Melbourne,Templestowe,1,650.0
Inner Eastern Melbourne,Templestowe Lower,7,900.0
Inner Eastern Melbourne,Vermont,2,737.5
Inner Melbourne,Abbotsford,3,895.0
Inner Melbourne,Airport West,6,602.5
Inner Melbourne,Albert Park,1,1600.0
Inner Melbourne,Altona North,7,750.0
Inner Melbourne,Armadale,2,802.5
Inner Melbourne,Balwyn North,4,1050.0
Inner Melbourne,Bell Park,2,475.0
