Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Inner Melbourne,Albert Park-Middle Park-West St Kilda,956,$425.00,954,$425.00,978,$430.00,961,$445.00,927,$440.00,914,$440.00,902,$450.00,923,$450.00,965,$450.00,976,$460.00,993,$460.00,958,$470.00,971,$470.00,966,$465.00,952,$451.00,"1,005",$460.00,"1,012",$460.00,"1,031",$470.00,"1,018",$480.00,983,$480.00,942,$480.00,925,$490.00,913,$495.00,941,$500.00,961,$520.00,970,$500.00,971,$520.00,921,$520.00,910,$520.00,892,$531.00,896,$530.00,902,$530.00,891,$550.00,920,$560.00,913,$570.00,925,$570.00,905,$552.00,886,$560.00,857,$565.00,847,$595.00,786,$545.00
,Armadale,589,$360.00,600,$360.00,620,$365.00,616,$370.00,651,$380.00,660,$380.00,638,$380.00,631,$390.00,610,$385.00,609,$385.00,596,$385.00,607,$385.00,618,$395.00,622,$395.00,634,$395.00,641,$395.00,659,$390.00,677,$395.00,672,$390.00,677,$400.00,680,$400.00,663,$399.00,663,$400.00,659,$400.00,653,$400.00,659,$400.00,673,$400.00,660,$410.00,681,$420.00,690,$440.00,829,$450.00,922,$470.00,964,$480.00,989,$495.00,888,$495.00,826,$480.00,794,$480.00,739,$480.00,758,$480.00,776,$485.00,751,$490.00
,Carlton North,487,$420.00,483,$440.00,505,$450.00,515,$450.00,544,$450.00,527,$460.00,526,$470.00,521,$480.00,476,$495.00,490,$500.00,501,$495.00,488,$490.00,506,$480.00,522,$490.00,509,$500.00,524,$500.00,546,$510.00,544,$510.00,540,$520.00,527,$520.00,535,$530.00,529,$530.00,541,$530.00,561,$530.00,544,$530.00,544,$530.00,529,$520.00,509,$530.00,501,$530.00,484,$540.00,482,$550.00,500,$560.00,500,$562.00,507,$560.00,523,$570.00,490,$573.00,482,$580.00,495,$577.00,486,$580.00,523,$580.00,490,$620.00
,Carlton-Parkville,"3,369",$340.00,"3,350",$340.00,"3,221",$340.00,"3,179",$340.00,"3,266",$340.00,"3,345",$340.00,"3,497",$340.00,"3,567",$340.00,"3,864",$340.00,"3,782",$340.00,"3,806",$340.00,"3,883",$340.00,"3,855",$346.00,"3,848",$346.00,"3,848",$346.00,"3,776",$350.00,"4,005",$355.00,"4,162",$351.00,"4,400",$350.00,"4,534",$351.00,"4,652",$351.00,"4,849",$361.00,"4,860",$380.00,"5,110",$370.00,"5,390",$373.00,"5,206",$370.00,"5,194",$370.00,"4,964",$380.00,"4,631",$395.00,"4,638",$397.00,"4,782",$400.00,"4,693",$400.00,"4,491",$410.00,"4,416",$410.00,"4,339",$420.00,"4,437",$428.00,"4,313",$435.00,"4,451",$440.00,"4,520",$430.00,"4,662",$420.00,"6,690",$400.00
,CBD-St Kilda Rd,"5,612",$410.00,"5,628",$410.00,"5,703",$420.00,"5,959",$420.00,"6,247",$420.00,"6,210",$430.00,"6,073",$430.00,"6,077",$430.00,"6,226",$440.00,"6,404",$440.00,"6,566",$440.00,"6,627",$445.00,"6,932",$450.00,"7,284",$449.00,"7,614",$440.00,"7,875",$435.00,"8,337",$430.00,"8,437",$435.00,"8,785",$435.00,"9,093",$440.00,"9,864",$440.00,"9,953",$440.00,"10,429",$440.00,"10,410",$445.00,"9,965",$450.00,"9,938",$450.00,"10,010",$450.00,"10,007",$460.00,"10,433",$470.00,"10,798",$480.00,"10,769",$480.00,"10,741",$490.00,"10,464",$495.00,"10,047",$495.00,"10,187",$490.00,"10,144",$495.00,"10,522",$500.00,"10,798",$500.00,"10,839",$510.00,"10,859",$510.00,"17,426",$500.00
,Collingwood-Abbotsford,649,$400.00,694,$410.00,690,$420.00,739,$420.00,784,$420.00,772,$425.00,787,$430.00,761,$450.00,721,$450.00,726,$450.00,730,$450.00,706,$450.00,712,$450.00,723,$450.00,857,$470.00,"1,029",$470.00,"1,316",$450.00,"1,483",$450.00,"1,695",$430.00,"1,714",$425.00,"1,617",$430.00,"1,632",$430.00,"1,691",$440.00,"1,870",$440.00,"2,180",$440.00,"2,206",$450.00,"2,093",$450.00,"2,064",$450.00,"1,979",$450.00,"1,993",$450.00,"1,925",$460.00,"1,873",$475.00,"1,842",$480.00,"1,846",$475.00,"1,875",$475.00,"1,866",$480.00,"1,908",$490.00,"1,900",$495.00,"1,915",$495.00,"2,032",$500.00,"2,163",$520.00
,Docklands,"1,171",$500.00,"1,155",$500.00,"1,131",$510.00,"1,104",$513.00,"1,047",$530.00,"1,011",$540.00,"1,063",$530.00,"1,134",$530.00,"1,266",$530.00,"1,337",$530.00,"1,587",$510.00,"1,730",$500.00,"1,762",$500.00,"1,851",$500.00,"1,770",$510.00,"1,795",$500.00,"1,999",$500.00,"1,966",$500.00,"1,886",$495.00,"1,780",$500.00,"1,614",$500.00,"1,698",$500.00,"1,694",$500.00,"1,673",$510.00,"1,770",$520.00,"1,741",$530.00,"1,826",$530.00,"2,047",$520.00,"2,319",$520.00,"2,445",$510.00,"2,656",$520.00,"2,811",$540.00,"2,793",$550.00,"2,756",$550.00,"2,641",$550.00,"2,405",$550.00,"2,288",$570.00,"2,338",$580.00,"2,386",$570.00,"2,358",$580.00,"2,726",$550.00
,East Melbourne,638,$405.00,658,$410.00,647,$415.00,628,$425.00,585,$430.00,584,$440.00,553,$450.00,560,$450.00,547,$450.00,505,$450.00,505,$460.00,472,$470.00,479,$460.00,503,$460.00,534,$460.00,556,$460.00,567,$460.00,550,$470.00,515,$460.00,502,$460.00,485,$470.00,507,$460.00,508,$470.00,520,$473.00,498,$470.00,478,$477.00,493,$478.00,502,$477.00,539,$495.00,541,$495.00,525,$495.00,494,$500.00,464,$500.00,458,$500.00,475,$510.00,499,$500.00,516,$495.00,541,$500.00,594,$520.00,626,$550.00,514,$540.00
,East St Kilda,"1,509",$330.00,"1,531",$335.00,"1,556",$345.00,"1,596",$350.00,"1,609",$350.00,"1,624",$350.00,"1,606",$355.00,"1,614",$350.00,"1,644",$360.00,"1,664",$360.00,"1,697",$360.00,"1,715",$360.00,"1,726",$360.00,"1,717",$360.00,"1,763",$360.00,"1,774",$360.00,"1,771",$365.00,"1,781",$370.00,"1,749",$370.00,"1,770",$360.00,"1,766",$360.00,"1,793",$360.00,"1,804",$365.00,"1,786",$375.00,"1,789",$385.00,"1,750",$385.00,"1,744",$390.00,"1,720",$390.00,"1,723",$400.00,"1,706",$400.00,"1,731",$400.00,"1,794",$400.00,"1,778",$400.00,"1,772",$400.00,"1,713",$410.00,"1,683",$415.00,"1,678",$420.00,"1,691",$420.00,"1,662",$425.00,"1,628",$425.00,"1,782",$450.00
,Elwood,"1,682",$350.00,"1,698",$360.00,"1,743",$360.00,"1,780",$370.00,"1,784",$375.00,"1,769",$380.00,"1,752",$381.00,"1,702",$390.00,"1,738",$390.00,"1,753",$395.00,"1,783",$390.00,"1,786",$390.00,"1,812",$390.00,"1,827",$390.00,"1,830",$390.00,"1,894",$395.00,"1,857",$395.00,"1,831",$390.00,"1,820",$390.00,"1,889",$395.00,"1,893",$395.00,"1,910",$400.00,"1,885",$400.00,"1,797",$400.00,"1,826",$400.00,"1,797",$400.00,"1,802",$410.00,"1,777",$410.00,"1,754",$420.00,"1,749",$420.00,"1,742",$420.00,"1,731",$420.00,"1,699",$430.00,"1,643",$430.00,"1,614",$440.00,"1,566",$440.00,"1,571",$450.00,"1,633",$450.00,"1,620",$450.00,"1,630",$450.00,"1,540",$450.00
,Fitzroy,605,$450.00,625,$450.00,647,$450.00,630,$460.00,637,$460.00,692,$470.00,689,$481.00,701,$480.00,684,$485.00,665,$490.00,710,$485.00,726,$485.00,726,$485.00,696,$490.00,668,$495.00,675,$510.00,658,$500.00,681,$520.00,691,$508.00,735,$498.00,719,$500.00,702,$500.00,710,$500.00,678,$525.00,785,$510.00,797,$510.00,774,$510.00,736,$523.00,666,$528.00,633,$530.00,601,$530.00,615,$535.00,628,$550.00,631,$560.00,655,$560.00,651,$570.00,645,$585.00,646,$595.00,640,$595.00,645,$590.00,813,$590.00
,Fitzroy North-Clifton Hill,843,$420.00,879,$430.00,899,$440.00,890,$450.00,919,$450.00,911,$450.00,888,$460.00,912,$460.00,963,$460.00,"1,060",$460.00,"1,092",$470.00,"1,076",$470.00,"1,065",$480.00,"1,012",$490.00,"1,033",$490.00,"1,053",$495.00,"1,071",$495.00,"1,071",$495.00,"1,096",$495.00,"1,108",$495.00,"1,097",$500.00,"1,108",$500.00,"1,078",$500.00,"1,099",$500.00,"1,122",$500.00,"1,146",$500.00,"1,175",$500.00,"1,203",$505.00,"1,161",$510.00,"1,127",$520.00,"1,128",$530.00,"1,089",$540.00,"1,051",$550.00,"1,029",$550.00,988,$550.00,"1,001",$550.00,"1,078",$560.00,"1,106",$570.00,"1,133",$570.00,"1,121",$560.00,"1,088",$600.00
,Flemington-Kensington,"1,147",$360.00,"1,220",$365.00,"1,246",$365.00,"1,353",$370.00,"1,424",$370.00,"1,399",$370.00,"1,390",$380.00,"1,298",$380.00,"1,261",$380.00,"1,301",$385.00,"1,474",$380.00,"1,591",$380.00,"1,687",$380.00,"1,693",$380.00,"1,566",$385.00,"1,535",$390.00,"1,572",$385.00,"1,565",$390.00,"1,562",$390.00,"1,529",$390.00,"1,569",$395.00,"1,586",$395.00,"1,587",$395.00,"1,584",$400.00,"1,532",$400.00,"1,529",$400.00,"1,549",$400.00,"1,532",$400.00,"1,477",$410.00,"1,430",$415.00,"1,506",$410.00,"1,566",$410.00,"1,581",$415.00,"1,613",$420.00,"1,534",$425.00,"1,611",$430.00,"1,655",$440.00,"1,686",$450.00,"1,694",$450.00,"1,551",$450.00,"1,537",$450.00
,North Melbourne-West Melbourne,"1,476",$380.00,"1,477",$380.00,"1,513",$360.00,"1,594",$380.00,"1,639",$396.00,"1,728",$400.00,"1,809",$400.00,"1,848",$400.00,"1,965",$390.00,"2,013",$390.00,"2,003",$380.00,"2,072",$375.00,"2,032",$385.00,"2,009",$390.00,"2,026",$395.00,"2,021",$400.00,"2,115",$395.00,"2,106",$390.00,"2,181",$395.00,"2,178",$400.00,"2,452",$395.00,"2,502",$400.00,"2,472",$400.00,"2,464",$395.00,"2,412",$395.00,"2,617",$400.00,"2,913",$410.00,"3,013",$410.00,"2,992",$420.00,"2,818",$420.00,"2,761",$420.00,"2,826",$430.00,"2,698",$440.00,"2,834",$440.00,"2,803",$450.00,"2,744",$450.00,"2,750",$450.00,"2,633",$450.00,"2,725",$450.00,"2,914",$450.00,"4,018",$450.00
,Port Melbourne,"1,322",$480.00,"1,372",$490.00,"1,416",$495.00,"1,361",$500.00,"1,322",$520.00,"1,293",$515.00,"1,299",$526.00,"1,308",$530.00,"1,351",$540.00,"1,327",$540.00,"1,298",$550.00,"1,435",$540.00,"1,515",$525.00,"1,541",$530.00,"1,566",$520.00,"1,492",$525.00,"1,425",$530.00,"1,439",$530.00,"1,458",$535.00,"1,425",$530.00,"1,381",$530.00,"1,401",$540.00,"1,405",$550.00,"1,422",$550.00,"1,412",$550.00,"1,414",$550.00,"1,370",$552.00,"1,352",$560.00,"1,359",$560.00,"1,345",$570.00,"1,323",$570.00,"1,338",$588.00,"1,354",$595.00,"1,343",$600.00,"1,338",$620.00,"1,305",$615.00,"1,277",$610.00,"1,215",$600.00,"1,197",$620.00,"1,201",$620.00,"1,187",$650.00
