Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,"2,156",$322.00,"2,243",$330.00,"2,363",$335.00,"2,402",$340.00,"2,518",$340.00,"2,571",$350.00,"2,662",$350.00,"2,726",$350.00,"2,981",$350.00,"3,041",$350.00,"3,041",$349.00,"3,101",$345.00,"2,963",$340.00,"3,067",$340.00,"3,122",$340.00,"3,198",$340.00,"3,237",$345.00,"3,164",$350.00,"3,179",$350.00,"3,104",$350.00,"3,124",$350.00,"3,113",$350.00,"3,101",$355.00,"3,209",$360.00,"3,242",$360.00,"3,387",$360.00,"3,454",$360.00,"3,428",$360.00,"3,418",$365.00,"3,384",$370.00,"3,329",$380.00,"3,351",$380.00,"3,287",$385.00,"3,272",$390.00,"3,359",$390.00,"3,349",$395.00,"3,352",$400.00,"3,321",$400.00,"3,292",$400.00,"3,259",$400.00,"2,982",$440.00
,Eltham-Research-Montmorency,665,$340.00,677,$340.00,694,$350.00,688,$353.00,689,$360.00,690,$360.00,689,$360.00,702,$365.00,705,$365.00,730,$360.00,719,$365.00,730,$365.00,746,$360.00,721,$370.00,723,$365.00,715,$365.00,691,$370.00,697,$370.00,702,$385.00,721,$390.00,732,$390.00,732,$400.00,717,$400.00,716,$400.00,728,$400.00,749,$400.00,767,$400.00,748,$410.00,716,$410.00,707,$415.00,682,$425.00,689,$430.00,701,$440.00,686,$440.00,705,$450.00,681,$450.00,672,$450.00,657,$450.00,642,$450.00,649,$450.00,609,$500.00
,Fairfield-Alphington,518,$300.00,545,$310.00,570,$320.00,572,$320.00,584,$320.00,564,$320.00,550,$325.00,566,$323.00,595,$330.00,666,$330.00,667,$325.00,646,$330.00,644,$335.00,631,$340.00,658,$345.00,682,$350.00,699,$345.00,681,$350.00,652,$350.00,648,$350.00,647,$350.00,640,$343.00,658,$340.00,644,$345.00,672,$360.00,696,$365.00,706,$370.00,729,$375.00,681,$375.00,661,$375.00,655,$385.00,667,$395.00,705,$400.00,716,$400.00,688,$410.00,708,$410.00,661,$420.00,668,$440.00,702,$450.00,662,$460.00,879,$400.00
,Heidelberg-Heidelberg West,970,$320.00,950,$330.00,992,$330.00,"1,022",$335.00,996,$335.00,979,$340.00,"1,023",$340.00,"1,052",$350.00,"1,109",$350.00,"1,115",$350.00,"1,087",$350.00,"1,069",$345.00,"1,101",$350.00,"1,106",$350.00,"1,115",$350.00,"1,095",$350.00,"1,089",$360.00,"1,122",$360.00,"1,146",$360.00,"1,238",$360.00,"1,267",$360.00,"1,278",$360.00,"1,295",$360.00,"1,242",$360.00,"1,237",$365.00,"1,225",$370.00,"1,209",$375.00,"1,216",$380.00,"1,253",$390.00,"1,332",$390.00,"1,377",$395.00,"1,415",$400.00,"1,427",$400.00,"1,431",$410.00,"1,415",$420.00,"1,398",$410.00,"1,395",$420.00,"1,355",$420.00,"1,368",$420.00,"1,401",$420.00,"1,457",$450.00
,Ivanhoe-Ivanhoe East,520,$350.00,534,$350.00,539,$350.00,544,$353.00,537,$360.00,525,$370.00,513,$380.00,505,$385.00,506,$392.00,523,$390.00,528,$390.00,507,$390.00,483,$385.00,503,$380.00,498,$390.00,497,$385.00,550,$395.00,522,$400.00,539,$400.00,569,$400.00,545,$400.00,577,$410.00,575,$420.00,555,$425.00,582,$428.00,584,$420.00,606,$420.00,673,$425.00,742,$440.00,757,$450.00,809,$450.00,801,$450.00,734,$450.00,730,$450.00,733,$460.00,711,$450.00,747,$460.00,736,$463.00,721,$460.00,730,$460.00,768,$470.00
,Mill Park-Epping,"1,554",$320.00,"1,601",$320.00,"1,718",$330.00,"1,797",$330.00,"1,840",$330.00,"1,844",$330.00,"1,903",$330.00,"1,914",$335.00,"2,024",$335.00,"2,099",$330.00,"2,080",$330.00,"2,111",$330.00,"2,073",$330.00,"2,134",$330.00,"2,215",$330.00,"2,227",$330.00,"2,210",$330.00,"2,192",$330.00,"2,152",$330.00,"2,171",$330.00,"2,181",$330.00,"2,190",$330.00,"2,170",$340.00,"2,168",$340.00,"2,225",$340.00,"2,222",$345.00,"2,232",$345.00,"2,245",$350.00,"2,222",$350.00,"2,231",$350.00,"2,200",$360.00,"2,192",$360.00,"2,197",$360.00,"2,162",$365.00,"2,110",$370.00,"2,049",$370.00,"2,064",$370.00,"2,061",$370.00,"2,118",$373.00,"2,196",$375.00,"2,034",$410.00
,Northcote,931,$390.00,930,$390.00,966,$400.00,985,$400.00,996,$400.00,"1,008",$410.00,"1,021",$410.00,999,$420.00,"1,067",$430.00,"1,101",$430.00,"1,096",$430.00,"1,098",$430.00,"1,093",$425.00,"1,107",$440.00,"1,164",$440.00,"1,210",$440.00,"1,244",$440.00,"1,277",$450.00,"1,304",$450.00,"1,286",$450.00,"1,287",$450.00,"1,278",$450.00,"1,255",$450.00,"1,297",$450.00,"1,306",$450.00,"1,339",$450.00,"1,342",$440.00,"1,316",$450.00,"1,370",$460.00,"1,380",$460.00,"1,403",$470.00,"1,432",$475.00,"1,423",$480.00,"1,414",$495.00,"1,428",$500.00,"1,411",$500.00,"1,391",$500.00,"1,367",$500.00,"1,303",$500.00,"1,264",$500.00,"1,285",$510.00
,Preston,"1,108",$330.00,"1,162",$330.00,"1,193",$340.00,"1,234",$350.00,"1,214",$350.00,"1,216",$350.00,"1,226",$350.00,"1,236",$350.00,"1,374",$358.00,"1,363",$350.00,"1,443",$350.00,"1,509",$350.00,"1,459",$350.00,"1,499",$355.00,"1,436",$355.00,"1,404",$360.00,"1,393",$360.00,"1,400",$360.00,"1,410",$368.00,"1,449",$370.00,"1,490",$370.00,"1,476",$370.00,"1,527",$370.00,"1,534",$380.00,"1,596",$380.00,"1,657",$380.00,"1,683",$380.00,"1,703",$390.00,"1,695",$390.00,"1,707",$395.00,"1,735",$400.00,"1,660",$400.00,"1,628",$410.00,"1,659",$415.00,"1,593",$420.00,"1,642",$420.00,"1,591",$420.00,"1,540",$430.00,"1,590",$420.00,"1,595",$430.00,"1,722",$450.00
,Reservoir,"1,581",$290.00,"1,593",$300.00,"1,625",$300.00,"1,674",$300.00,"1,672",$310.00,"1,743",$310.00,"1,820",$310.00,"1,830",$315.00,"1,842",$315.00,"1,843",$315.00,"1,858",$310.00,"1,932",$310.00,"2,021",$320.00,"2,053",$320.00,"2,049",$320.00,"1,996",$320.00,"1,963",$320.00,"1,986",$320.00,"1,949",$320.00,"1,974",$325.00,"2,005",$330.00,"1,983",$330.00,"1,992",$330.00,"2,044",$330.00,"2,019",$340.00,"2,048",$340.00,"2,078",$340.00,"2,068",$345.00,"2,110",$350.00,"2,099",$350.00,"2,116",$350.00,"2,079",$360.00,"2,115",$360.00,"2,140",$370.00,"2,109",$370.00,"2,115",$370.00,"2,079",$380.00,"2,071",$380.00,"2,178",$380.00,"2,188",$380.00,"2,137",$405.00
,Thomastown-Lalor,718,$290.00,749,$290.00,777,$300.00,820,$300.00,860,$300.00,860,$300.00,946,$300.00,972,$300.00,"1,038",$305.00,"1,078",$300.00,"1,061",$309.00,"1,033",$305.00,"1,006",$300.00,"1,051",$310.00,"1,093",$310.00,"1,102",$310.00,"1,122",$310.00,"1,068",$310.00,"1,037",$320.00,"1,051",$320.00,"1,065",$320.00,"1,074",$320.00,"1,057",$320.00,"1,089",$320.00,"1,068",$325.00,"1,114",$330.00,"1,140",$330.00,"1,116",$330.00,"1,137",$340.00,"1,109",$340.00,"1,116",$340.00,"1,123",$350.00,"1,111",$350.00,"1,138",$350.00,"1,095",$360.00,"1,122",$360.00,"1,133",$360.00,"1,099",$360.00,"1,144",$360.00,"1,137",$360.00,"1,163",$385.00
