Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
North Western Melbourne,Broadmeadows-Roxburgh Park,"1,040",$300.00,"1,077",$300.00,"1,094",$300.00,"1,159",$310.00,"1,191",$310.00,"1,198",$310.00,"1,226",$312.00,"1,238",$320.00,"1,265",$315.00,"1,279",$315.00,"1,300",$312.00,"1,333",$310.00,"1,379",$310.00,"1,438",$310.00,"1,473",$310.00,"1,434",$311.00,"1,417",$320.00,"1,388",$320.00,"1,340",$320.00,"1,376",$320.00,"1,363",$322.00,"1,386",$325.00,"1,446",$330.00,"1,484",$330.00,"1,531",$330.00,"1,602",$330.00,"1,704",$330.00,"1,745",$340.00,"1,776",$340.00,"1,764",$345.00,"1,707",$350.00,"1,736",$350.00,"1,778",$360.00,"1,769",$360.00,"1,764",$369.00,"1,697",$370.00,"1,664",$370.00,"1,685",$370.00,"1,740",$370.00,"1,784",$370.00,"1,554",$395.00
,Brunswick,"1,705",$350.00,"1,676",$350.00,"1,692",$350.00,"1,691",$360.00,"1,728",$370.00,"1,815",$370.00,"1,907",$380.00,"1,971",$390.00,"2,028",$390.00,"2,007",$395.00,"1,951",$395.00,"1,902",$395.00,"1,959",$400.00,"2,008",$400.00,"1,986",$400.00,"1,954",$400.00,"1,901",$400.00,"1,852",$400.00,"1,916",$400.00,"2,070",$400.00,"2,109",$400.00,"2,111",$400.00,"2,116",$410.00,"2,013",$420.00,"2,018",$420.00,"2,028",$420.00,"1,977",$420.00,"1,984",$430.00,"1,943",$430.00,"1,965",$440.00,"1,997",$450.00,"1,983",$450.00,"2,000",$450.00,"2,028",$450.00,"2,071",$460.00,"2,076",$465.00,"2,108",$468.00,"2,041",$470.00,"1,978",$470.00,"2,002",$480.00,"2,015",$485.00
,Coburg-Pascoe Vale South,"1,041",$350.00,"1,056",$350.00,"1,097",$350.00,"1,139",$355.00,"1,171",$360.00,"1,179",$360.00,"1,246",$360.00,"1,313",$360.00,"1,376",$370.00,"1,381",$370.00,"1,328",$370.00,"1,314",$370.00,"1,259",$380.00,"1,325",$375.00,"1,353",$380.00,"1,333",$380.00,"1,363",$380.00,"1,373",$380.00,"1,388",$380.00,"1,400",$385.00,"1,394",$390.00,"1,329",$390.00,"1,328",$395.00,"1,323",$400.00,"1,323",$400.00,"1,372",$400.00,"1,364",$400.00,"1,370",$400.00,"1,394",$410.00,"1,461",$415.00,"1,502",$420.00,"1,471",$430.00,"1,461",$430.00,"1,383",$440.00,"1,403",$445.00,"1,467",$450.00,"1,459",$450.00,"1,446",$450.00,"1,409",$450.00,"1,371",$450.00,"1,476",$475.00
,Craigieburn,657,$310.00,684,$320.00,709,$320.00,784,$320.00,783,$330.00,842,$330.00,948,$330.00,"1,014",$330.00,"1,162",$330.00,"1,204",$330.00,"1,230",$330.00,"1,220",$325.00,"1,239",$320.00,"1,290",$320.00,"1,370",$320.00,"1,458",$320.00,"1,428",$330.00,"1,462",$330.00,"1,471",$330.00,"1,514",$330.00,"1,583",$330.00,"1,608",$330.00,"1,597",$330.00,"1,626",$340.00,"1,648",$340.00,"1,729",$340.00,"1,787",$345.00,"1,834",$350.00,"1,903",$350.00,"1,865",$350.00,"1,909",$350.00,"1,948",$360.00,"1,932",$360.00,"1,993",$370.00,"2,031",$380.00,"2,059",$380.00,"2,209",$380.00,"2,310",$383.00,"2,424",$390.00,"2,535",$390.00,"2,652",$421.00
,East Brunswick,462,$370.00,484,$380.00,492,$390.00,494,$390.00,520,$400.00,523,$400.00,565,$410.00,607,$420.00,600,$420.00,607,$430.00,589,$430.00,595,$420.00,651,$420.00,668,$410.00,703,$420.00,787,$400.00,823,$400.00,975,$385.00,"1,152",$380.00,"1,106",$385.00,"1,089",$380.00,"1,018",$400.00,882,$400.00,"1,036",$420.00,"1,079",$420.00,"1,144",$420.00,"1,401",$420.00,"1,305",$400.00,"1,299",$400.00,"1,278",$420.00,"1,119",$440.00,"1,158",$440.00,"1,181",$440.00,"1,200",$433.00,"1,269",$430.00,"1,300",$435.00,"1,347",$445.00,"1,336",$450.00,"1,289",$460.00,"1,265",$465.00,"1,232",$450.00
,Essendon,"1,486",$320.00,"1,522",$320.00,"1,620",$330.00,"1,648",$330.00,"1,727",$330.00,"1,725",$335.00,"1,730",$340.00,"1,742",$340.00,"1,747",$350.00,"1,873",$350.00,"1,947",$350.00,"2,003",$350.00,"2,014",$350.00,"1,983",$350.00,"1,934",$350.00,"1,964",$350.00,"1,977",$350.00,"2,025",$350.00,"2,050",$350.00,"2,028",$350.00,"2,099",$355.00,"2,075",$355.00,"2,134",$360.00,"2,247",$360.00,"2,250",$360.00,"2,320",$365.00,"2,313",$370.00,"2,290",$380.00,"2,394",$380.00,"2,367",$390.00,"2,374",$390.00,"2,416",$390.00,"2,362",$400.00,"2,369",$400.00,"2,326",$400.00,"2,317",$400.00,"2,270",$410.00,"2,312",$410.00,"2,371",$410.00,"2,324",$413.00,"2,446",$425.00
,Gladstone Park-Tullamarine,485,$290.00,494,$300.00,513,$300.00,518,$310.00,555,$310.00,567,$310.00,571,$310.00,567,$320.00,605,$320.00,624,$325.00,651,$325.00,672,$320.00,646,$320.00,652,$320.00,639,$320.00,630,$320.00,617,$330.00,607,$330.00,604,$330.00,610,$330.00,635,$330.00,643,$335.00,667,$335.00,667,$340.00,631,$340.00,580,$340.00,569,$347.00,566,$350.00,581,$350.00,601,$360.00,569,$360.00,594,$370.00,603,$370.00,613,$380.00,630,$380.00,623,$380.00,627,$380.00,626,$388.00,641,$390.00,647,$390.00,543,$420.00
,Keilor,66,$350.00,66,$351.00,58,$350.00,64,$345.00,54,$350.00,61,$340.00,58,$340.00,61,$350.00,67,$350.00,75,$350.00,82,$360.00,81,$360.00,80,$360.00,76,$365.00,76,$373.00,75,$380.00,82,$380.00,79,$370.00,75,$370.00,80,$370.00,71,$370.00,65,$370.00,66,$388.00,62,$380.00,65,$390.00,69,$400.00,66,$400.00,62,$418.00,65,$425.00,66,$400.00,66,$400.00,68,$400.00,63,$400.00,65,$430.00,61,$460.00,59,$450.00,56,$450.00,54,$450.00,62,$420.00,64,$420.00,49,$480.00
,Moonee Ponds-Ascot Vale,"1,161",$350.00,"1,173",$350.00,"1,224",$360.00,"1,241",$360.00,"1,256",$370.00,"1,276",$375.00,"1,245",$380.00,"1,193",$380.00,"1,332",$385.00,"1,350",$390.00,"1,324",$390.00,"1,377",$390.00,"1,290",$390.00,"1,321",$390.00,"1,369",$385.00,"1,375",$380.00,"1,385",$380.00,"1,374",$380.00,"1,376",$390.00,"1,416",$390.00,"1,444",$390.00,"1,427",$390.00,"1,484",$390.00,"1,519",$400.00,"1,526",$400.00,"1,596",$400.00,"1,606",$400.00,"1,559",$400.00,"1,605",$410.00,"1,610",$410.00,"1,592",$420.00,"1,606",$430.00,"1,581",$430.00,"1,539",$440.00,"1,471",$440.00,"1,560",$440.00,"1,745",$440.00,"1,783",$450.00,"1,905",$440.00,"1,888",$450.00,"1,751",$460.00
,Oak Park-Glenroy-Fawkner,"1,201",$300.00,"1,245",$310.00,"1,307",$320.00,"1,319",$320.00,"1,390",$320.00,"1,434",$330.00,"1,465",$330.00,"1,493",$330.00,"1,534",$330.00,"1,574",$330.00,"1,598",$325.00,"1,636",$325.00,"1,619",$320.00,"1,665",$320.00,"1,693",$320.00,"1,653",$330.00,"1,686",$330.00,"1,630",$330.00,"1,612",$330.00,"1,675",$340.00,"1,683",$340.00,"1,706",$340.00,"1,728",$345.00,"1,718",$350.00,"1,727",$350.00,"1,798",$350.00,"1,821",$350.00,"1,890",$350.00,"1,905",$360.00,"1,894",$360.00,"1,956",$370.00,"1,945",$370.00,"2,019",$380.00,"2,042",$380.00,"2,014",$380.00,"2,000",$390.00,"1,982",$390.00,"1,993",$392.00,"2,010",$400.00,"2,046",$400.00,"2,106",$415.00
