Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Southern Melbourne,Aspendale-Chelsea-Carrum,"1,362",$320.00,"1,393",$320.00,"1,386",$330.00,"1,411",$340.00,"1,424",$350.00,"1,438",$350.00,"1,526",$350.00,"1,511",$350.00,"1,576",$350.00,"1,562",$355.00,"1,556",$355.00,"1,550",$360.00,"1,503",$355.00,"1,512",$353.00,"1,497",$360.00,"1,510",$360.00,"1,493",$365.00,"1,477",$370.00,"1,463",$370.00,"1,420",$372.00,"1,396",$375.00,"1,401",$380.00,"1,454",$380.00,"1,486",$380.00,"1,521",$385.00,"1,489",$390.00,"1,440",$395.00,"1,412",$400.00,"1,478",$400.00,"1,492",$400.00,"1,494",$410.00,"1,517",$420.00,"1,434",$420.00,"1,456",$420.00,"1,459",$430.00,"1,448",$440.00,"1,483",$440.00,"1,477",$440.00,"1,504",$440.00,"1,515",$438.00,"1,215",$495.00
,Bentleigh,"1,589",$370.00,"1,608",$380.00,"1,609",$380.00,"1,625",$385.00,"1,674",$395.00,"1,676",$395.00,"1,716",$400.00,"1,740",$400.00,"1,779",$400.00,"1,808",$400.00,"1,863",$400.00,"1,892",$400.00,"1,878",$400.00,"1,872",$400.00,"1,830",$410.00,"1,783",$410.00,"1,811",$420.00,"1,823",$420.00,"1,868",$425.00,"1,949",$430.00,"1,919",$430.00,"1,948",$430.00,"1,915",$430.00,"1,958",$430.00,"2,068",$440.00,"2,076",$440.00,"2,175",$445.00,"2,127",$450.00,"2,126",$450.00,"2,124",$460.00,"2,091",$470.00,"2,154",$480.00,"2,244",$480.00,"2,288",$485.00,"2,381",$490.00,"2,456",$495.00,"2,505",$500.00,"2,555",$500.00,"2,502",$500.00,"2,478",$510.00,"2,273",$550.00
,Brighton,723,$550.00,733,$550.00,722,$550.00,730,$550.00,765,$550.00,785,$585.00,816,$590.00,812,$590.00,801,$595.00,788,$590.00,800,$600.00,819,$605.00,813,$625.00,818,$635.00,795,$620.00,807,$630.00,903,$600.00,911,$600.00,932,$600.00,992,$599.00,923,$620.00,919,$630.00,935,$640.00,868,$640.00,891,$600.00,930,$600.00,971,$590.00,"1,012",$580.00,"1,019",$600.00,978,$595.00,948,$613.00,922,$650.00,900,$650.00,929,$650.00,936,$650.00,965,$630.00,"1,010",$640.00,996,$650.00,986,$650.00,938,$665.00,808,$725.00
,Brighton East,366,$520.00,325,$520.00,324,$536.00,337,$550.00,329,$565.00,334,$588.00,337,$570.00,349,$575.00,363,$590.00,371,$595.00,386,$600.00,388,$600.00,418,$595.00,446,$578.00,427,$570.00,444,$587.00,416,$580.00,399,$575.00,416,$575.00,393,$580.00,398,$590.00,378,$600.00,378,$600.00,394,$610.00,399,$650.00,440,$620.00,441,$630.00,430,$638.00,450,$633.00,435,$650.00,421,$650.00,419,$660.00,412,$675.00,406,$673.00,411,$690.00,436,$690.00,422,$700.00,425,$700.00,429,$700.00,424,$700.00,376,$783.00
,Carnegie,919,$305.00,935,$315.00,929,$320.00,944,$325.00,984,$335.00,"1,032",$330.00,"1,073",$330.00,"1,060",$330.00,"1,052",$330.00,"1,021",$345.00,"1,023",$345.00,"1,022",$350.00,"1,064",$350.00,"1,080",$350.00,"1,062",$350.00,"1,100",$350.00,"1,100",$350.00,"1,093",$350.00,"1,162",$351.00,"1,150",$360.00,"1,141",$360.00,"1,170",$360.00,"1,169",$365.00,"1,198",$370.00,"1,255",$380.00,"1,234",$380.00,"1,211",$380.00,"1,198",$385.00,"1,216",$395.00,"1,243",$400.00,"1,234",$404.00,"1,220",$418.00,"1,208",$420.00,"1,232",$420.00,"1,278",$420.00,"1,364",$425.00,"1,340",$430.00,"1,355",$435.00,"1,303",$440.00,"1,255",$435.00,"1,286",$433.00
,Caulfield,"1,636",$360.00,"1,651",$360.00,"1,668",$370.00,"1,666",$380.00,"1,725",$380.00,"1,742",$380.00,"1,768",$380.00,"1,766",$385.00,"1,751",$390.00,"1,736",$395.00,"1,753",$395.00,"1,825",$395.00,"1,890",$395.00,"1,976",$390.00,"2,048",$385.00,"2,052",$385.00,"2,157",$385.00,"2,142",$390.00,"2,126",$395.00,"2,162",$397.00,"2,067",$400.00,"2,057",$400.00,"2,072",$400.00,"2,013",$400.00,"1,986",$401.00,"1,981",$410.00,"2,059",$420.00,"2,244",$430.00,"2,286",$440.00,"2,376",$440.00,"2,319",$440.00,"2,246",$440.00,"2,344",$443.00,"2,260",$450.00,"2,218",$455.00,"2,221",$460.00,"2,204",$470.00,"2,220",$470.00,"2,332",$475.00,"2,451",$475.00,"2,664",$495.00
,Cheltenham,"1,207",$350.00,"1,225",$360.00,"1,281",$370.00,"1,287",$375.00,"1,317",$380.00,"1,315",$380.00,"1,304",$380.00,"1,334",$387.00,"1,339",$390.00,"1,326",$390.00,"1,312",$395.00,"1,367",$385.00,"1,426",$380.00,"1,463",$380.00,"1,569",$375.00,"1,562",$380.00,"1,608",$380.00,"1,628",$390.00,"1,607",$395.00,"1,637",$400.00,"1,621",$400.00,"1,629",$400.00,"1,634",$400.00,"1,642",$410.00,"1,703",$410.00,"1,716",$420.00,"1,750",$420.00,"1,757",$430.00,"1,751",$430.00,"1,803",$440.00,"1,873",$450.00,"1,929",$450.00,"1,911",$450.00,"1,946",$450.00,"1,898",$450.00,"1,911",$455.00,"1,967",$460.00,"1,951",$460.00,"1,987",$460.00,"1,968",$470.00,"1,802",$500.00
,Elsternwick,563,$350.00,557,$350.00,586,$360.00,593,$360.00,573,$370.00,575,$370.00,579,$370.00,589,$375.00,626,$390.00,690,$390.00,704,$390.00,718,$390.00,671,$390.00,604,$390.00,623,$390.00,600,$390.00,605,$390.00,633,$395.00,596,$400.00,612,$400.00,636,$395.00,659,$400.00,684,$400.00,682,$400.00,669,$400.00,638,$395.00,668,$395.00,680,$395.00,694,$400.00,737,$420.00,735,$420.00,735,$420.00,755,$420.00,728,$420.00,695,$430.00,712,$430.00,693,$450.00,669,$450.00,671,$440.00,611,$450.00,720,$470.00
,Hampton-Beaumaris,968,$475.00,975,$475.00,988,$480.00,991,$480.00,"1,020",$480.00,"1,032",$488.00,"1,053",$495.00,"1,086",$495.00,"1,148",$500.00,"1,143",$500.00,"1,181",$500.00,"1,201",$500.00,"1,151",$495.00,"1,158",$495.00,"1,148",$495.00,"1,144",$495.00,"1,158",$500.00,"1,181",$500.00,"1,179",$525.00,"1,209",$520.00,"1,275",$500.00,"1,316",$495.00,"1,342",$490.00,"1,343",$495.00,"1,283",$510.00,"1,254",$525.00,"1,286",$519.00,"1,269",$515.00,"1,259",$525.00,"1,256",$525.00,"1,196",$550.00,"1,199",$550.00,"1,210",$550.00,"1,241",$550.00,"1,229",$570.00,"1,233",$570.00,"1,225",$575.00,"1,189",$595.00,"1,201",$580.00,"1,218",$580.00,"1,057",$630.00
,Malvern,440,$388.00,441,$390.00,428,$395.00,418,$395.00,418,$390.00,409,$395.00,418,$400.00,415,$400.00,408,$420.00,421,$420.00,419,$400.00,429,$400.00,484,$400.00,509,$400.00,502,$420.00,511,$415.00,491,$438.00,482,$433.00,514,$420.00,499,$430.00,506,$440.00,502,$450.00,473,$450.00,507,$450.00,493,$460.00,529,$455.00,554,$455.00,524,$470.00,524,$460.00,496,$460.00,491,$465.00,509,$460.00,497,$470.00,491,$475.00,493,$490.00,481,$495.00,499,$495.00,497,$500.00,489,$495.00,495,$495.00,492,$500.00
