Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1.0,1.0,Alberton Primary School,Primary,O,21 Thomson Street,,Alberton,VIC,3971.0,21 Thomson Street,,ALBERTON,VIC,3971.0,03 5183 2412,681.0,Wellington (S),146.6666,-38.61771
Government,1.0,3.0,Allansford and District Primary School,Primary,O,Frank Street,,Allansford,VIC,3277.0,Frank Street,,ALLANSFORD,VIC,3277.0,03 5565 1382,673.0,Warrnambool (C),142.59039,-38.38628
Government,1.0,4.0,Avoca Primary School,Primary,O,118 Barnett Street,,Avoca,VIC,3467.0,P O Box 12,,AVOCA,VIC,3467.0,03 5465 3176,599.0,Pyrenees (S),143.47565,-37.0845
Government,1.0,8.0,Avenel Primary School,Primary,O,40 Anderson Street,,Avenel,VIC,3664.0,40 Anderson Street,,AVENEL,VIC,3664.0,03 5796 2264,643.0,Strathbogie (S),145.23472,-36.90137
Government,1.0,12.0,Warrandyte Primary School,Primary,O,5-11 Forbes Street,,Warrandyte,VIC,3113.0,5-11 Forbes Street,,WARRANDYTE,VIC,3113.0,03 9844 3537,421.0,Manningham (C),145.21398,-37.74268
Government,1.0,26.0,Belmont Primary School,Primary,O,51 Mt Pleasant Road,,Belmont,VIC,3216.0,P O Box 471,,BELMONT,VIC,3216.0,03 5243 2972,275.0,Greater Geelong (C),144.3421,-38.17067
Government,1.0,28.0,Bacchus Marsh Primary School,Primary,O,56-62 Lerderderg Street,,Bacchus Marsh,VIC,3340.0,P O Box 334,,Bacchus Marsh,VIC,3340.0,03 5367 2745,515.0,Moorabool (S),144.44312,-37.67303
Government,1.0,33.0,Ballarat Primary School (Dana Street),Primary,O,401 Dana Street,,Ballarat,VIC,3350.0,401 Dana Street,,BALLARAT,VIC,3350.0,03 5332 1301,57.0,Ballarat (C),143.85394,-37.56401
Government,1.0,37.0,Wodonga Primary School,Primary,O,Brockley Street,,Wodonga,VIC,3690.0,PO Box 329,,WODONGA,VIC,3689.0,02 6048 0300,717.0,Wodonga (C),146.88982,-36.12921
Government,1.0,40.0,Berwick Primary School,Primary,O,37 Fairholme Boulevard,,Berwick,VIC,3806.0,37 Fairholme Boulevard,,Berwick,VIC,3806.0,03 9707 1026,161.0,Casey (C),145.35442,-38.04409
Government,1.0,60.0,Beaufort Primary School,Primary,O,2/37 Park Road,,Beaufort,VIC,3373.0,P O Box 18,,BEAUFORT,VIC,3373.0,03 5349 2490,599.0,Pyrenees (S),143.38172,-37.43852
Government,1.0,84.0,Cheltenham Primary School,Primary,O,231 Charman Road,,Cheltenham,VIC,3192.0,231 Charman Road,,CHELTENHAM,VIC,3192.0,03 8585 3200,91.0,Bayside (C),145.05463,-37.96861
Government,1.0,105.0,Cudgee Primary School,Primary,O,3 Hallowells Road,,Cudgee,VIC,3265.0,3 Hallowells Road,,CUDGEE,VIC,3265.0,03 5567 6346,549.0,Moyne (S),142.65084,-38.34794
