Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"50 Elmhurst Road, Bayswater North VIC 3153",7.41080786,Kings Park,Poor Park,1,1,0,House,270,-37.8356494,145.2647756
"63 Pintail Drive, Melton South VIC 3338",3.690476826,Friends Of The Melton Botanic Garden,Poor Park,1,1,0,House,280,-37.7198837,144.5800032
"8 Jacobena Road, Melton South VIC 3338",3.071961099,Turpentine/Botanica Springs Blvd Park,Poor Park,1,1,0,House,300,-37.7147152,144.5658476
"126 Portarlington Road, Newcomb VIC 3219",2.175355101,Friends of Geelong Botanic Gardens,Good Park,3,1,1,House,400,-38.1611215,144.3997456
"123 Mossfiel Drive, Hoppers Crossing VIC 3029",6.681981435,Shoestring Gardening,Poor Park,3,2,2,House,395,-37.8674355,144.6901116
"45 South Street, Belmont VIC 3216",1.038150737,Barwon Valley Park,Average Park,3,1,1,House,390,-38.1733833,144.3322619
"1/7 Stafford Street, Herne Hill VIC 3218",1.629526635,Sparrow Park,Poor Park,2,1,1,House,400,-38.1378284,144.322802
"160 Soldiers Road, Beenak VIC 3139",26.29023336,Dandenong Ranges National Park,Good Park,3,1,2,House,400,-37.9004215,145.6170065
"317 Armstrong Street North, Soldiers Hill VIC 3350",0.680593567,Walter J. Jones Memorial Park,Poor Park,3,1,1,House,400,-37.5544416,143.8572438
"16 Barcelona Street, Box Hill VIC 3128",2.827072567,Wattle Park,Poor Park,1,1,0,House,170,-37.8239251,145.1321226
"2/66 Curdie St, Cobden VIC 3266",24.63978083,Brucknell Park Scout Camp,Poor Park,2,1,1,House,330,-38.3278061,143.0736846
"56 Burke Road, Malvern East VIC 3145",0.695550054,Central Park,Poor Park,1,2,0,House,230,-37.8731509,145.0490582
"4/104 Alexandra Street, St Kilda East VIC 3183",1.934045017,Grattan Gardens,Poor Park,1,1,1,House,375,-37.862382,145.0036888
"9 Mayfield Grove, Caulfield North VIC 3161",1.534717308,Central Park,Poor Park,1,2,0,House,170,-37.8697186,145.0316282
"2 Renate Drive, Harkness VIC 3337",0.945028267,Navan Park,Poor Park,3,2,1,House,400,-37.662513,144.5697287
"5565 Great Alpine Road, Ovens VIC 3738",65.64506659,Mirimbah Park,Poor Park,2,2,0,House,400,-36.6167866,146.8079911
"29 Merrett Street, Peterborough VIC 3270",14.69669291,Brucknell Park Scout Camp,Poor Park,2,1,3,House,350,-38.6030772,142.8643336
"1 Dorey Street, Peterborough VIC 3270",14.92269907,Brucknell Park Scout Camp,Poor Park,2,1,4,House,400,-38.6038627,142.8821131
"134 Lockwood Road, Kangaroo Flat VIC 3555",1.750328338,Kangaroo Flat Native Botanic Gardens,Poor Park,2,1,1,House,370,-36.7979036,144.2277227
"33 Hawkesbury Road, Werribee VIC 3030",2.784182777,Shoestring Gardening,Poor Park,2,1,3,House,400,-37.8827903,144.6501515
"2/52a Forrest St, Albion VIC 3020",3.528275749,Cairnlea Park,Poor Park,2,1,1,House,380,-37.7844547,144.8201687
"9 Julian Street, Werribee VIC 3030",3.071045908,Shoestring Gardening,Poor Park,3,1,2,House,400,-37.8910544,144.6557811
"95 Kookaburra Ave, Werribee VIC 3030",4.844441028,Victoria State Rose Garden,Good Park,3,1,2,House,395,-37.8850549,144.6810273
"206c Somerville Road, Kingsville VIC 3012",5.362595765,Altona Memorial Park,Poor Park,1,1,0,House,400,-37.8122118,144.8798849
"109 South Road, Braybrook VIC 3019",4.73527505,Altona Memorial Park,Poor Park,2,1,1,House,400,-37.7909723,144.846438
"Rooms 1-4 of 2/1 Beevers Street, Footscray VIC 3011",4.330598915,Flagstaff Gardens,Poor Park,1,2,0,House,175,-37.7972834,144.9081797
"1/10 Pearce Street, California Gully VIC 3556",1.027480513,JD’s community garden and art space,Poor Park,2,1,1,House,370,-36.7308045,144.2660747
"53 Beddoe Avenue, Clayton VIC 3168",5.385869739,Outer Circle Linear Park,Poor Park,1,3,0,House,250,-37.9116859,145.1276099
"1/38 Selwyn Street, Albion VIC 3020",2.863167354,Cairnlea Park,Poor Park,2,1,2,House,380,-37.7799036,144.8152454
"2/1 Regis Close, Werribee VIC 3030",1.282788461,Shoestring Gardening,Poor Park,2,1,1,House,390,-37.8934125,144.6353769
"117 Chapple Street, Wodonga VIC 3690",111.3677582,Mount Samaria State Park,Poor Park,8,3,4,House,250,-36.1324914,146.9042421
"10 Kuhnes Road, Mardan VIC 3953",11.83457054,Mcindoe Park Playground,Poor Park,3,2,1,House,395,-38.4836609,146.0864995
"22 Senior Court, Highton VIC 3216",4.586887094,Barwon Valley Park,Average Park,1,1,0,House,205,-38.1981458,144.3063581
"2/32-34 Kerr Street, Warrnambool VIC 3280",0.831619777,Victoria Park Community Dog Park,Poor Park,1,1,1,House,390,-38.3756951,142.4753088
"77 Burns Street, Maryborough VIC 3465",36.83057713,Lambley Gardens & Nursery,Poor Park,3,1,0,House,330,-37.0473304,143.7439882
"9 St Helens Avenue, Lake Gardens VIC 3355",0.330241832,Ballarat Botanical Gardens,Good Park,4,2,2,House,400,-37.5471778,143.8176094
"4/2 Kitchener Street, Mentone VIC 3194",9.957487758,Riverend Park PTY Ltd.,Poor Park,2,1,1,House,400,-37.9879647,145.0596182
"605 Urquhart Street, Ballarat Central VIC 3350",0.840348161,Sturt Street Gardens,Poor Park,3,1,1,House,380,-37.5670907,143.8442124
"20 Sybella Avenue, Koo Wee Rup VIC 3981",20.82513612,Moonlit Sanctuary Wildlife Conservation Park,Good Park,2,2,0,House,400,-38.2023859,145.488924
"49 Mowbray Crescent, Kurunjang VIC 3337",1.552519993,Navan Park,Poor Park,3,1,3,House,380,-37.6697933,144.5852733
"17 King Street, Maffra VIC 3860",21.05373456,Wallaby Rise Bush Camping Park,Poor Park,4,1,2,House,400,-37.9639929,146.9811672
"6 Seymour Crescent, Soldiers Hill VIC 3350",0.353200283,Walter J. Jones Memorial Park,Poor Park,2,1,2,House,400,-37.5549076,143.8631584
"218 Nelson St, Ballarat East VIC 3350",0.362451111,Ballarat Community Garden,Poor Park,3,1,4,House,360,-37.556719,143.8803236
"3/8-10 Mitchell Street, Heathcote VIC 3523",1.195808813,Heathcote Dog Park,Poor Park,2,1,1,House,320,-36.913884,144.7012075
"19 Tennyson Street, Norlane VIC 3214",1.892209426,Fountain of Friendship Park,Poor Park,3,1,1,House,390,-38.0966747,144.3587107
"22 Carpenter Street, Wendouree VIC 3355",1.038128524,Pioneer Park,Poor Park,3,2,6,House,385,-37.5233295,143.8337074
"8/36 Adelaide Street, Albion VIC 3020",3.231935361,Cairnlea Park,Poor Park,2,1,1,House,380,-37.7812666,144.8197418
"837 Humffray Street South, Mount Pleasant VIC 3350",1.692969018,Sturt Street Gardens,Poor Park,2,1,2,House,370,-37.5762541,143.8509838
"14 Taunton Street, Sunshine VIC 3020",4.787599708,Cairnlea Park,Poor Park,2,1,2,House,390,-37.7830559,144.8409661
"25 Malmesbury Street, Wendouree VIC 3355",0.9858501,Pioneer Park,Poor Park,3,1,2,House,400,-37.5251767,143.8318032
"118 SWEENEYS ROAD, Dumbalk VIC 3956",6.937998465,Meeniyan Park,Poor Park,3,2,2,House,400,-38.5422394,146.0788
"2/14 Aquila Court, Ballarat North VIC 3350",0.672880225,Peel Street Park,Poor Park,2,1,1,House,310,-37.5435274,143.8687719
"9/70 Chute Street, Mordialloc VIC 3195",6.511845925,Riverend Park PTY Ltd.,Poor Park,1,1,1,House,330,-38.0036845,145.0939644
