Name,Address,Longitude,Latitude
Westfield Doncaster,"619 Doncaster Road, Doncaster",145.125484,-37.78689209999999
Greensborough Plaza,"25 Main Street, Greensborough",145.1031319,-37.7026269
Westfield Fountain Gate,"25/55 Overland Drive, Narre Warren",145.3042624,-38.0175702
South Melbourne Market,"322-326 Coventry Street, South Melbourne",144.9559391,-37.8320111
DFO Moorabbin,"250 Centre Dandenong Road, Moorabbin Airport",145.0888717,-37.9710583
DFO Essendon,"100 Bulla Road, Essendon Fields",144.908863,-37.7331429
Victoria Gardens Shopping Centre,"620 Victoria Street, Richmond",145.0116083,-37.8132375
The Jam Factory,"500 Chapel Street, South Yarra",144.995328,-37.8427394
Westfield Knox,"425 Burwood Highway, Wantirna South",145.2408593,-37.8696283
Linen House Outlet Heatherton,"60 Corporate Drive, Heatherton",145.0822467,-37.9479721
Craigieburn Central,"340 Craigieburn Road, Craigieburn",144.9133132,-37.59263250000001
Radical RC Hobbies,"3/490 Mahoneys Road, Campbellfield",144.9641538,-37.6896534
Brand Smart,"288 Whitehorse Road, Nunawading",145.1719172,-37.8186884
Gladstone Park Shopping Centre,"8/34 Gladstone Park Drive, Gladstone Park",144.8846293,-37.68814289999999
Woodgrove Shopping Centre,"533-555 High Street, Melton West",144.5623604,-37.68583939999999
The Como Centre,"Toorak Road, South Yarra",144.9958624,-37.8394149
Burnside Hub,"15/25 Westwood Drive, Burnside",144.754415,-37.759917
Broadmeadows Central,"1099-1169 Pascoe Vale Road, Broadmeadows",144.9193346,-37.6804006
Westfield Plenty Valley,"415 McDonalds Road, Mill Park",145.071735,-37.6514214
Chadstone - The Fashion Capital,"1341 Dandenong Road, Malvern East",145.082586,-37.8878465
The Glen,"235 Springvale Road, Glen Waverley",145.164989,-37.87589699999999
Westfield Airport West,"29/35 Louis Street, Airport West",144.8865002,-37.71387559999999
Pran Central Shopping Centre,"325 Chapel Street, Prahran",144.9934684,-37.8472959
Melbourne's GPO,"350 Bourke Street, Melbourne",144.9632758,-37.8135391
Stockland Point Cook,"Level 1/2 Main Street, Point Cook",144.7353879,-37.8833691
Watergardens Shopping Centre,"399 Melton Highway, Taylors Lakes",144.7767572,-37.6989971
Sweet Tomato,"371-373 Clayton Road, Clayton",145.1190045,-37.9268891
The Pines Shopping Centre,"181 Reynolds Road, Doncaster East",145.1686409,-37.7619566
Parkmore Shopping Centre,"317 Cheltenham Road, Keysborough",145.1730838,-37.9925747
