Price,Address,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude,geometry,index_right,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,distance_to_train,distance_to_cbd
$270 per week,"50 Elmhurst Road, Bayswater North VIC 3153",1,1,0,House,270,-37.8356494,145.2647756,POINT (16170800.849991152 -4556234.530507666),120,19870,-37.84173,Bayswater Railway Station (Bayswater),145.268136,2,Belgrave,1.619,33.569
280,"63 Pintail Drive, Melton South VIC 3338",1,1,0,House,280,-37.7198837,144.5800032,POINT (16094572.335113863 -4539929.999683046),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,22.757,56.01
300,"8 Jacobena Road, Melton South VIC 3338",1,1,0,House,300,-37.7147152,144.5658476,POINT (16092996.540929992 -4539202.658941908),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,22.769,57.192
$400.00,"126 Portarlington Road, Newcomb VIC 3219",3,1,1,House,400,-38.1611215,144.3997456,POINT (16074506.150870245 -4602211.947454569),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,46.073,78.963
$395.00,"123 Mossfiel Drive, Hoppers Crossing VIC 3029",3,2,2,House,395,-37.8674355,144.6901116,POINT (16106829.546133926 -4560715.783853476),172,19922,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing),144.700955,2,Werribee,2.779,31.252
$390.00,"45 South Street, Belmont VIC 3216",3,1,1,House,390,-38.1733833,144.3322619,POINT (16066993.899749398 -4603948.095505507),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,52.887,85.777
$400.00,"1/7 Stafford Street, Herne Hill VIC 3218",2,1,1,House,400,-38.1378284,144.322802,POINT (16065940.828498444 -4598914.6817529425),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,48.197,81.087
$400 per week,"160 Soldiers Road, Beenak VIC 3139",3,1,2,House,400,-37.9004215,145.6170065,POINT (16210011.01442081 -4565368.2453554105),94,19844,-37.909102,Belgrave Railway Station (Belgrave),145.355291,2,Belgrave,35.425,78.93
$400 Per Week,"317 Armstrong Street North, Soldiers Hill VIC 3350",3,1,1,House,400,-37.5544416,143.8572438,POINT (16014115.126739811 -4516673.161505016),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,87.95,123.804
From $170 week,"16 Barcelona Street, Box Hill VIC 3128",1,1,0,House,170,-37.8239251,145.1321226,POINT (16156033.985578952 -4554582.108138232),147,19897,-37.82078,Laburnum Railway Station (Blackburn),145.140703,2,"Lilydale,Belgrave",1.131,22.32
